id, cycle 60-year s,year start date,Year end date,Associated Element,Heavenly Stem,Earthly Branch,Associated  Animal in Chinese,Associated Animal
1,1,"Feb ÿ5,ÿ1924ÿ"," Jan 23, 1925",Yang Wood,?,?,?,Rat
2,2,"Jan 24,ÿ1925ÿ"," Feb 12, 1926",Yin Wood,?,?,?,Ox
3,3,"Feb 13,ÿ1926ÿ"," Feb ÿ1, 1927",Yang Fire,?,?,?,Tiger
4,4,"Feb ÿ2,ÿ1927ÿ"," Jan 22, 1928",Yin Fire,?,?,?,Rabbit
5,5,"Jan 23,ÿ1928ÿ"," Feb ÿ9, 1929",Yang Earth,?,?,?,Dragon
6,6,"Feb 10,ÿ1929ÿ"," Jan 29, 1930",Yin Earth,?,?,?,Snake
7,7,"Jan 30,ÿ1930ÿ"," Feb 16, 1931",Yang Metal,?,?,?,Horse
8,8,"Feb 17,ÿ1931ÿ"," Feb ÿ5, 1932",Yin Metal,?,?,?,Goat
9,9,"Feb ÿ6,ÿ1932ÿ"," Jan 25, 1933",Yang Water,?,?,?,Monkey
10,10,"Jan 26,ÿ1933ÿ"," Feb 13, 1934",Yin Water,?,?,?,Rooster
11,11,"Feb 14,ÿ1934ÿ"," Feb ÿ3, 1935",Yang Wood,?,?,?,Dog
12,12,"Feb ÿ4,ÿ1935ÿ"," Jan 23, 1936",Yin Wood,?,?,?,Pig
13,13,"Jan 24,ÿ1936ÿ"," Feb 10, 1937",Yang Fire,?,?,?,Rat
14,14,"Feb 11,ÿ1937ÿ"," Jan 30, 1938",Yin Fire,?,?,?,Ox
15,15,"Jan 31,ÿ1938ÿ"," Feb 18, 1939",Yang Earth,?,?,?,Tiger
16,16,"Feb 19,ÿ1939ÿ"," Feb ÿ7, 1940",Yin Earth,?,?,?,Rabbit
17,17,"Feb ÿ8,ÿ1940ÿ"," Jan 26, 1941",Yang Metal,?,?,?,Dragon
18,18,"Jan 27,ÿ1941ÿ"," Feb 14, 1942",Yin Metal,?,?,?,Snake
19,19,"Feb 15,ÿ1942ÿ"," Feb ÿ4, 1943",Yang Water,?,?,?,Horse
20,20,"Feb ÿ5,ÿ1943ÿ"," Jan 24, 1944",Yin Water,?,?,?,Goat
21,21,"Jan 25,ÿ1944ÿ"," Feb 12, 1945",Yang Wood,?,?,?,Monkey
22,22,"Feb 13,ÿ1945ÿ"," Feb ÿ1, 1946",Yin Wood,?,?,?,Rooster
23,23,"Feb ÿ2,ÿ1946ÿ"," Jan 21, 1947",Yang Fire,?,?,?,Dog
24,24,"Jan 22,ÿ1947ÿ"," Feb ÿ9, 1948",Yin Fire,?,?,?,Pig
25,25,"Feb 10,ÿ1948ÿ"," Jan 28, 1949",Yang Earth,?,?,?,Rat
26,26,"Jan 29,ÿ1949ÿ"," Feb 16, 1950",Yin Earth,?,?,?,Ox
27,27,"Feb 17,ÿ1950ÿ"," Feb ÿ5, 1951",Yang Metal,?,?,?,Tiger
28,28,"Feb ÿ6,ÿ1951ÿ"," Jan 26, 1952",Yin Metal,?,?,?,Rabbit
29,29,"Jan 27,ÿ1952ÿ"," Feb 13, 1953",Yang Water,?,?,?,Dragon
30,30,"Feb 14,ÿ1953ÿ"," Feb ÿ2, 1954",Yin Water,?,?,?,Snake
31,31,"Feb ÿ3,ÿ1954ÿ"," Jan 23, 1955",Yang Wood,?,?,?,Horse
32,32,"Jan 24,ÿ1955ÿ"," Feb 11, 1956",Yin Wood,?,?,?,Goat
33,33,"Feb 12,ÿ1956ÿ", Jan 30 1957,Yang Fire,?,?,?,Monkey
34,34,"Jan 31,ÿ1957ÿ"," Feb 17, 1958",Yin Fire,?,?,?,Rooster
35,35,"Feb 18,ÿ1958ÿ"," Feb ÿ7, 1959",Yang Earth,?,?,?,Dog
36,36,"Feb ÿ8,ÿ1959ÿ"," Jan 27, 1960",Yin Earth,?,?,?,Pig
37,37,"Jan 28,ÿ1960ÿ"," Feb 14, 1961",Yang Metal,?,?,?,Rat
38,38,"Feb 15,ÿ1961ÿ"," Feb ÿ4, 1962",Yin Metal,?,?,?,Ox
39,39,"Feb ÿ5,ÿ1962ÿ"," Jan 24, 1963",Yang Water,?,?,?,Tiger
40,40,"Jan 25,ÿ1963ÿ"," Feb 12, 1964",Yin Water,?,?,?,Rabbit
41,41,"Feb 13,ÿ1964ÿ"," Feb ÿ1, 1965",Yang Wood,?,?,?,Dragon
42,42,"Feb ÿ2,ÿ1965ÿ"," Jan 20, 1966",Yin Wood,?,?,?,Snake
43,43,"Jan 21,ÿ1966ÿ"," Feb ÿ8, 1967",Yang Fire,?,?,?,Horse
44,44,"Feb ÿ9,ÿ1967ÿ"," Jan 29, 1968",Yin Fire,?,?,?,Goat
45,45,"Jan 30,ÿ1968ÿ"," Feb 16, 1969",Yang Earth,?,?,?,Monkey
46,46,"Feb 17,ÿ1969ÿ"," Feb ÿ5, 1970",Yin Earth,?,?,?,Rooster
47,47,"Feb ÿ6,ÿ1970ÿ"," Jan 26, 1971",Yang Metal,?,?,?,Dog
48,48,"Jan 27,ÿ1971ÿ"," Feb 14, 1972",Yin Metal,?,?,?,Pig
49,49,"Feb 15,ÿ1972ÿ"," Feb ÿ2, 1973",Yang Water,?,?,?,Rat
50,50,"Feb ÿ3,ÿ1973ÿ"," Jan 22, 1974",Yin Water,?,?,?,Ox
51,51,"Jan 23,ÿ1974ÿ"," Feb 10, 1975",Yang Wood,?,?,?,Tiger
52,52,"Feb 11,ÿ1975ÿ"," Jan 30, 1976",Yin Wood,?,?,?,Rabbit
